newID,East_CH1903+,North_CH1903+,UTM_East,UTM_North
19FER1,2608240.0,1101123.6,387471.17820599023,5101919.424804974
19FER2,2608670.5,1101843.3,387915.55983729276,5102630.269191016
19FER2,2608670.5,1100843.3,387895.93371595023,5101630.835096822
19FER3,2608800.6,1100277.3,388014.85260382405,5101062.603440606
19FER4,2608889.3,1099969.8,388097.4680061941,5100753.537910991
19FER4,2608851.2,1099888.6,388057.79635546403,5100673.13179837
19CAL2009,2608712.3,1098948.5,387900.5299268119,5099736.293692962
20FER1,2608303.0,1101062.0,387532.93372072116,5101856.623288521
20FER2,2608841.0,1100400.0,388057.6374540417,5101184.440869251
20FER3,2608885.0,1099965.0,388093.0762665495,5100748.825023622
20CAL2008,2608754.0,1099049.0,387944.1778734274,5099835.918107087
21FER1,2608546.6,1100885.6,387772.93406682066,5101675.542611912
21FER1A,2608698.4,1100740.3,387921.79655620223,5101527.345994455
21FER2,2608878.7,1100163.4,388090.6730648157,5100947.235663679
21FER3,2609049.2,1099774.6,388253.4464866831,5100555.311538575
21FER4,2608736.1,1099184.4,387928.94465667824,5099971.591947352
21CAL2007,2609024.2,1099190.9,388217.0075358062,5099972.435541866
22FER1,2608747.0,1098880.0,387933.8661540403,5099667.152064121
22FER2,2609005.5,1099160.7,388197.72568049503,5099942.619725047
22FER3,2608980.0,1099929.0,388187.3157068583,5100710.981371099
22FER4,2608624.0,1100796.0,387848.5318392135,5101584.4744626265
23FER1,2608876.9,1099966.1,388085.0024660279,5100750.083341306
23FER2,2608659.9,1100778.9,387884.07590171695,5101566.679640789
23CAL2013,2608718.9,1098835.4,387904.90720289666,5099623.128874322
